Frame,L_Act,L_Obs,R_Act,R_Obs
0,0.030000,0.034960,0.030000,0.034952
1,0.019549,0.031441,0.019331,0.031427
2,0.019692,0.027919,0.020807,0.027899
3,0.021412,0.024410,0.023684,0.024653
4,0.024655,0.024035,0.026793,0.025419
5,0.028249,0.026734,0.027954,0.026432
6,0.030290,0.029068,0.028307,0.026977
7,0.030017,0.029427,0.028414,0.027213
8,0.029318,0.028861,0.028447,0.027306
9,0.028857,0.028239,0.028457,0.027339
10,0.028627,0.027818,0.028460,0.027352
11,0.028527,0.027583,0.028460,0.027355
12,0.028487,0.027466,0.028460,0.027356
13,0.028471,0.027415,0.028461,0.027358
14,0.028465,0.027392,0.028461,0.027358
15,0.028463,0.027382,0.028461,0.027358
16,0.028463,0.027581,0.028461,0.027358
17,0.028463,0.027319,0.028461,0.027357
18,0.028463,0.027082,0.028461,0.027358
19,0.028463,0.026892,0.028462,0.027358
20,0.028463,0.026684,0.028462,0.027358
21,0.028463,0.027144,0.028462,0.027358
22,0.028463,0.027159,0.028462,0.027358
23,0.028463,0.027081,0.028462,0.027358
24,0.028462,0.026776,0.028462,0.027358
25,0.024927,0.024987,0.028462,0.027358
26,0.021391,0.022331,0.028462,0.027358
27,0.021261,0.021297,0.028462,0.027358
28,0.021256,0.020813,0.028462,0.027358
29,0.021257,0.020597,0.028462,0.027359
30,0.021257,0.020462,0.028462,0.027358
31,0.021258,0.020645,0.028462,0.027358
32,0.021257,0.020497,0.028462,0.027358
33,0.021256,0.020475,0.028462,0.027359
34,0.021255,0.020464,0.028462,0.027359
35,0.021258,0.020452,0.028462,0.027359
36,0.021252,0.020445,0.028462,0.027359
37,0.021251,0.020443,0.028462,0.027359
38,0.021251,0.020443,0.028462,0.027359
39,0.021251,0.020443,0.028462,0.027359
40,0.021251,0.020443,0.028462,0.027359
41,0.021251,0.020443,0.028463,0.027359
42,0.021251,0.020443,0.028463,0.027359
43,0.021251,0.020443,0.028463,0.027359
44,0.021251,0.020446,0.028463,0.027359
45,0.021262,0.020448,0.028463,0.027359
46,0.021241,0.020438,0.028463,0.027359
47,0.021251,0.020440,0.028462,0.027359
48,0.021251,0.020441,0.028462,0.027359
49,0.021251,0.020441,0.028462,0.027359
50,0.021237,0.020432,0.028463,0.027359
51,0.021237,0.020430,0.028463,0.027359
52,0.021237,0.020429,0.028463,0.027359
53,0.021237,0.020429,0.028463,0.027359
54,0.021237,0.020429,0.028463,0.027359
55,0.021237,0.020429,0.028462,0.027359
56,0.021238,0.020429,0.028462,0.027359
57,0.021237,0.020429,0.028462,0.027359
58,0.021237,0.020429,0.028462,0.027359
59,0.021236,0.020428,0.028462,0.027359
60,0.021214,0.020413,0.028462,0.027359
61,0.021235,0.020413,0.028462,0.027359
62,0.021239,0.020413,0.028462,0.027359
63,0.021238,0.020413,0.028462,0.027359
64,0.021237,0.020413,0.028462,0.027359
65,0.024439,0.022553,0.028462,0.027359
66,0.027168,0.025012,0.028462,0.027359
67,0.028067,0.026384,0.028462,0.027360
68,0.028341,0.026986,0.028462,0.027360
69,0.028425,0.027225,0.028462,0.027360
70,0.028450,0.027311,0.028462,0.027360
71,0.028458,0.027342,0.028462,0.027360
72,0.028461,0.027353,0.028462,0.027360
73,0.028461,0.027358,0.028462,0.027360
74,0.028461,0.027358,0.028462,0.027360
75,0.028461,0.027358,0.028462,0.027360
76,0.028461,0.027358,0.028462,0.027360
77,0.028461,0.027358,0.028462,0.027360
78,0.028461,0.027358,0.028462,0.027360
79,0.028461,0.027358,0.028462,0.027360
80,0.028461,0.027358,0.028462,0.027360
81,0.028461,0.027358,0.028462,0.027360
82,0.028461,0.027358,0.028462,0.027360
83,0.028461,0.027358,0.028463,0.027360
84,0.028461,0.027359,0.028463,0.027360
85,0.028465,0.027361,0.028463,0.027360
86,0.028464,0.027361,0.028462,0.027360
87,0.028463,0.027360,0.028462,0.027360
88,0.028463,0.027360,0.028463,0.027360
89,0.028463,0.027360,0.028463,0.027360
90,0.028463,0.027360,0.028463,0.027360
91,0.028463,0.027360,0.028463,0.027360
92,0.028463,0.027360,0.028463,0.027360
93,0.028463,0.027360,0.028463,0.027360
94,0.028463,0.027360,0.028463,0.027360
95,0.028462,0.027360,0.028462,0.027360
96,0.028462,0.027360,0.028462,0.027360
97,0.028462,0.027360,0.028462,0.027360
98,0.028462,0.027360,0.028462,0.027360
99,0.028461,0.027360,0.028462,0.027360
